Job Title,Job Description,Skills,Certifications
Entry Level Web Developer,Assists in developing web applications while learning front-end/back-end technologies through practical experience.,"C++, CSS, Git, HTML, Java, JavaScript, OOP, Python, REST APIs, UI/UX Basics, Web Development Fundamentals","HTML/CSS/JavaScript Certifications, Coding Bootcamp Certificates"
Envoy Engineer,Implements Envoy proxy solutions within microservices architectures while focusing on traffic management/security policies.,"Cloud Computing, Docker, Envoy, Kubernetes, Networking, Security, Service Mesh, Traffic Management","Service Mesh Certifications, Cloud Native Computing Foundation Certifications"
Falco Engineer,Utilizes Falco for runtime security monitoring of containerized applications while implementing threat detection mechanisms.,"Cloud Computing, Docker, Falco, Kubernetes, Security, System Monitoring, Threat Detection","Cloud Native Security Certifications, Kubernetes Security Specialist Certification"
FluentD Engineer,Configures FluentD as a log collector/aggregator while managing log ingestion pipelines into storage/analytics platforms.,"Cloud Computing, Data Collection, Data Processing, Elasticsearch, FluentD, Kibana, Log Management","FluentD Certification (if available), Cloud Native Computing Foundation Certifications"
Fortify Engineer,Conducts static/dynamic application security testing using Fortify tools while identifying/remediating vulnerabilities within applications.,".NET, Fortify, Java, Security, Software Development, Static Code Analysis, Vulnerability Management","Fortify Software Security Center Certification, Certified Ethical Hacker (CEH)"
FRAMEWORKS SPECIALIST,"Specializes in specific frameworks (e.g., React/Angular) by developing applications based on best practices within those frameworks.","Angular, Django, Framework Development, Java, JavaScript, Python, React, Spring Framework, Vue.js","Framework-Specific Certifications (e.g., React, Angular), Agile Methodologies Certifications"
Front End Developer,"Designs and develops user-facing features for web applications using HTML, CSS, and JavaScript. Collaborates with UX/UI designers to implement responsive designs.","Angular, C++, CSS, Git, HTML, Java, JavaScript, Node.js, OOP, Python, REST APIs, React, Sass, TypeScript, UI/UX Design, Vue.js","JavaScript Developer Certificate, Front-End Web Developer Nanodegree"
Front End Web Developer,Creates and maintains the visual components of web applications. Responsible for optimizing applications for maximum speed and scalability.,"Angular, C++, CSS, Git, HTML, Java, JavaScript, Node.js, OOP, Python, REST APIs, React, Sass, TypeScript, UI/UX Design, Vue.js","JavaScript Developer Certificate, Front-End Web Developer Nanodegree"
Full Stack Developer,Develops both front-end and back-end components of web applications. Requires proficiency in multiple programming languages and frameworks.,"Angular, C++, CI/CD, CSS, DevOps, Django, Express, Express.js, Git, HTML, Java, JavaScript, MongoDB, Node.js, OOP, Python, REST APIs, React, SQL","Full Stack Web Development Bootcamp, JavaScript Developer Certificate"
Full Stack JAVA Developer/Programmer/Engineer,Designs and develops full-stack applications using Java technologies. Responsible for both server-side logic and user interface design.,"C++, CSS, Cloud Computing, Express, Git, HTML, Hibernate, J2EE, JDBC, JUnit, Java, JavaScript, Jenkins, Maven, Microservices, MongoDB, Node.js, OOP, Python, REST APIs, React, SQL, Spring Boot, Spring Framework","Oracle Java Programmer Certification, Spring Framework Certification"
Full Stack Python Developer/Programmer/Engineer,"Creates full-stack applications using Python frameworks (e.g., Django). Responsible for developing both client-side and server-side components.","Algorithms, C++, CSS, Cloud Computing, Data Structures, Django, Docker, Express, Flask, Git, HTML, Java, JavaScript, Linux, MongoDB, Node.js, NumPy, OOP, Pandas, Python, REST APIs, React, SQL","Python Institute Certifications, Django for Everybody Specialization"
Game Developer,"Designs and develops video games across platforms. Responsible for coding gameplay mechanics, graphics, and user interactions.","C#, C++, Game Design, Game Engines, Git, Java, JavaScript, OOP, Python, REST APIs, Unity, Unreal Engine, VR Development","Unity Certified Developer, Game Design and Development Specialization"
GCP DevOps Engineer,"Implements DevOps practices on Google Cloud Platform. Responsible for automating deployments, managing CI/CD pipelines, and ensuring system reliability.","AWS, Ansible, Automation, CI/CD, DevOps, Docker, Git, Google Cloud, Jenkins, Kubernetes, Linux, Scripting, Terraform","Google Cloud Professional DevOps Engineer, Google Cloud Associate Cloud Engineer"
Gerrit Engineer,Manages Gerrit code review system to facilitate collaborative development. Responsibilities include configuring projects and managing user access.,"Automation, Code Review, Gerrit, Git, Linux, Scripting, Version Control","Gerrit Code Review Certification (if available), GitHub Proficiency Certifications"
Git Engineer,"Specializes in Git version control systems. Responsible for managing repositories, branching strategies, and ensuring code integrity during development.","Automation, Branching Strategies, CI/CD, Code Review, Git, Scripting, Version Control","GitHub Proficiency Certifications, GitLab Certifications"
Github Engineer,"Manages GitHub repositories for version control. Responsibilities include setting up workflows, managing pull requests, and collaborating with teams.","Automation, CI/CD, Git, GitHub, GitHub Actions, Scripting, Version Control","GitHub Proficiency Certifications, GitLab Certifications"
GitLab Engineer,Administers GitLab repositories for version control. Responsible for configuring CI/CD pipelines and managing project settings.,"Automation, CI/CD, Git, GitLab, GitLab CI, Scripting, Version Control","GitLab Certified Associate, GitLab CI/CD Certification"
Gradle Engineer,Utilizes Gradle build automation tools to manage project dependencies and build processes. Responsible for optimizing build configurations.,"Build Automation, CI/CD, Git, Gradle, Groovy, Java, Version Control","Gradle Certification, Java Developer Certification"
Grafana Engineer,Implements Grafana dashboards for data visualization. Responsible for monitoring metrics from various sources to provide insights into system performance.,"Alerting, Cloud Computing, Dashboards, Data Visualization, Grafana, Linux, Metrics, Monitoring","Grafana Certified Associate, Monitoring and Observability Certifications"
Groovy Engineer,Develops scripts using Groovy programming language to automate tasks within Java applications or build processes.,"Automation, Build Automation, Groovy, Java, Jenkins, Scripting","Groovy Certification, Java Developer Certification"
INFORMATION ARCHITECT,Designs information systems that provide clear navigation structures for users. Works on organizing content effectively across digital platforms.,"Content Strategy, Information Architecture, Prototyping, UI/UX Design, User Research, Wireframing","Certified Information Architect (CIA), User Experience Professional Certification"
Information Security Analyst,Protects an organizationâs computer systems by implementing security measures. Responsibilities include monitoring networks for security breaches.,"Ethical Hacking, Firewalls, IDS/IPS, Linux, Network Security, Penetration Testing, Security, Security Auditing, Vulnerability Management","Certified Information Systems Security Professional (CISSP), Certified Ethical Hacker (CEH)"
INTERACTION DESIGNER,Focuses on creating engaging interfaces that enhance user experience. Responsibilities include conducting user research and usability testing.,"Canva, Figma, Illustrator, Interaction Design, Photoshop, Prototyping, UI/UX Design, Usability Testing, User Research, Wireframing","Interaction Design Foundation Certifications, Certified Usability Analyst (CUA)"
IOS Developer,Develops mobile applications for iOS devices using Swift or Objective-C. Responsible for implementing UI designs and ensuring app performance.,"C++, Git, Java, Mobile Development, OOP, Objective-C, Python, REST APIs, SQL, Swift, UI/UX Design, XCode, iOS SDK","Apple Certified iOS Developer, iOS App Development Bootcamp"
Istio Engineer,"Implements service mesh solutions using Istio to manage microservices communication. Focuses on traffic management, security policies, and observability.","Cloud Computing, Docker, Istio, Kubernetes, Networking, Security, Service Mesh, Traffic Management","Istio Certification (if available), Cloud Native Computing Foundation Certifications"
IT Manager,"Oversees IT operations within an organization. Responsibilities include managing IT staff, budgeting, and ensuring alignment with business goals.","Agile, Agile Methodologies, Budgeting, Cloud Computing, Communication, Cybersecurity, IT Infrastructure, Leadership, Networking, Project Management, Project Planning, Scrum, Team Leadership","Project Management Professional (PMP), ITIL Foundation Certification"
JaCoCO Engineer,Utilizes JaCoCO to measure code coverage in Java applications. Responsible for integrating coverage reporting into CI/CD pipelines.,"CI/CD, Code Coverage, JaCoCO, Java, Quality Assurance, Testing","Java Developer Certification, JUnit Certification"
Java Developer,"Develops software applications using Java programming language. Responsibilities include writing code, debugging, and collaborating with team members on projects.","C++, Cloud Computing, Git, Hibernate, J2EE, JDBC, JUnit, Java, Jenkins, Maven, Microservices, OOP, Python, REST APIs, SQL, Spring Boot, Spring Framework","Oracle Certified Professional, Java SE Programmer, Spring Framework Certification"
JavaScript Developer,Creates interactive web applications using JavaScript frameworks/libraries like React or Angular. Focuses on front-end development best practices.,"Angular, C++, CSS, Git, HTML, Hibernate, JDBC, Java, JavaScript, Maven, Node.js, OOP, Python, REST APIs, React, Sass, Spring Boot, TypeScript, UI/UX Design, Vue.js","JavaScript Developer Certificate, Certified JavaScript Developer"
Jenkins Engineer,Manages Jenkins CI/CD server to automate software builds/deployments. Responsibilities include configuring jobs/plugins and maintaining build pipelines.,"Automation, Build Automation, CI/CD, Docker, Groovy, Jenkins, Kubernetes, Linux, Scripting, Version Control","Certified Jenkins Engineer, AWS Certified DevOps Engineer â Professional"
JIRA Engineer,"Administers JIRA project management tool to support Agile teams. Responsibilities include configuring workflows, managing projects, and providing user support.","Agile Methodologies, Atlassian Suite, Jira, Project Management, User Management, Workflow Configuration","Atlassian Jira Administration Certification, AgilePM Certification"
Jr Developer,Assists in software development tasks under supervision while gaining practical experience in coding/debugging practices.,"Algorithms, C++, CSS, Data Structures, Git, HTML, Java, JavaScript, OOP, Python, REST APIs, SQL","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Junior Developer,Supports development teams by writing code under guidance while learning best practices in software development.,"Algorithms, C++, CSS, Data Structures, Git, HTML, Java, JavaScript, OOP, Python, REST APIs, SQL","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Junior Front End Developer,Assists in developing front-end components of web applications while learning HTML/CSS/JavaScript.,"C++, CSS, Git, HTML, Java, JavaScript, OOP, Python, REST APIs, React, UI/UX Basics, Vue.js","HTML/CSS/JavaScript Certifications, Front-End Web Development Bootcamp"
Junior IOS Developer,Supports iOS application development efforts while gaining hands-on experience with Swift/Objective-C.,"C++, Git, Java, OOP, Objective-C, Python, REST APIs, Swift, UI/UX Basics, XCode, iOS SDK","Apple Certified iOS Developer, iOS App Development Bootcamp"
Junior Software Developer,Participates in software development projects while gaining practical experience through coding/debugging tasks.,"Algorithms, C++, CSS, Data Structures, Git, HTML, Java, JavaScript, OOP, Python, REST APIs, SQL","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Junior Software Engineer,Assists in engineering tasks related to software development while learning from experienced team members.,"Algorithms, CSS, Data Structures, Git, HTML, Java, JavaScript, Python, SQL","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Junior Web Developer,Supports web development efforts by writing basic code under supervision while learning front-end/back-end technologies.,"C++, CSS, Git, HTML, Java, JavaScript, OOP, Python, REST APIs, UI/UX Basics, Web Development Fundamentals","HTML/CSS/JavaScript Certifications, Front-End Web Development Bootcamp"
JUnit Engineer,Utilizes JUnit framework to write unit tests for Java applications. Responsibilities include ensuring code quality through automated testing.,"CI/CD, JUnit, Java, Test Automation, Testing, Unit Testing","JUnit Certification, Java Developer Certification"
kubernetes Administrator,"Manages and maintains Kubernetes clusters, ensuring high availability, scalability, and security of containerized applications. Works closely with DevOps, development, and IT teams to deploy, troubleshoot, and optimize Kubernetes-based infrastructure.","AWS, Automation, Azure, CI/CD, Cloud Computing, Docker, Kubernetes, Linux, Networking, Security",Certified Kubernetes Administrator (CKA)/Certified Kubernetes Security Specialist (CKS)/AWS Certified Kubernetes Specialist /Red Hat Certified Specialist in OpenShift 
Kubernetes Engineer,Designs and implements Kubernetes solutions for container orchestration while ensuring high availability of services.,"AWS, Automation, Azure, CI/CD, Cloud Computing, Docker, Kubernetes, Linux, Networking, Security","Certified Kubernetes Administrator (CKA), Docker Certified Associate"
Machine Learning Engineer,Builds machine learning models by implementing algorithms/data processing techniques while focusing on model evaluation/deployment.,"Algorithms, Computer Vision, Data Analysis, Data Science, Deep Learning, Keras, Machine Learning, Natural Language Processing, NumPy, Pandas, PyTorch, Python, Scikit-learn, TensorFlow","Microsoft Certified: Azure Data Scientist Associate, TensorFlow Developer Certificate"
MAVEN Engineer,Manages build processes using Maven for Java applications. Responsibilities include configuring pom.xml files and optimizing build performance.,"Build Automation, CI/CD, Dependency Management, Git, Java, Maven, Version Control","Maven Certification, Java Developer Certification"
Micro services / API Lead Designer,"Responsible for architecting, designing, and leading the development of scalable, secure, and efficient microservices-based applications. Collaborate closely with engineering, DevOps, and product teams to define API strategies, ensure seamless integration, and optimize system performance.","API Design, Canva, Cloud Computing, Figma, Illustrator, Java, Microservices, Photoshop, Python, REST APIs, SOA, Security","AWS Certified Solutions Architect/Google Professional Cloud Architect, Microsoft Certified-Azure Solutions Architect Expert/API Design & Management certifications "
MOBILE APP DEVELOPER,Develops mobile applications for platforms like Android and iOS. Responsibilities include designing user interfaces and integrating backend services.,"Android SDK, C++, Flutter, Git, Java, Kotlin, Mobile Development, OOP, Objective-C, Python, REST APIs, React Native, Swift, UI/UX Design, iOS","Google Associate Android Developer, Apple Certified iOS Developer"
Mobile Application Developer,Creates mobile applications using frameworks like React Native or Flutter. Focuses on delivering high-quality user experiences across devices.,"Android SDK, C++, Flutter, Git, Java, Kotlin, Mobile Development, OOP, Objective-C, Python, REST APIs, React Native, Swift, UI/UX Design, iOS","Google Associate Android Developer, Apple Certified iOS Developer"
Mulesoft Developer,Designs and develops integration solutions using MuleSoft Anypoint Platform. Responsible for creating APIs and managing data flows between systems.,"API Development, Anypoint Platform, C++, Git, Integration, Java, MuleSoft, OOP, Python, REST APIs, SOA","MuleSoft Certified Developer, MuleSoft Certified Architect"
Nagios Engineer,Implements Nagios monitoring solutions to track system performance and availability. Responsible for configuring alerts and managing monitoring plugins.,"Alerting, Linux, Monitoring, Nagios, Networking, Scripting, System Administration","Nagios Core Administration Certification, Linux Administration Certifications"
Network and Systems Administrator,"Manages network infrastructure and systems to ensure operational efficiency. Responsibilities include troubleshooting, maintenance, and user support.","Automation, Backup, CCNA, Firewalls, Linux, Networking, Routers, Scripting, Shell Scripting, Switches, System Administration, Troubleshooting, Virtualization, Windows Server","CompTIA Network+, Cisco CCNA"
Network Engineer,"Designs, implements, and manages network solutions to ensure reliable connectivity. Responsibilities include configuring routers/switches and monitoring network performance.","CCNA, Cisco, Firewalls, LAN/WAN, Linux, Networking, Networking Protocols, Routers, Routing, Security, Switches, Switching, TCP/IP, VPN","Cisco CCNA, CompTIA Network+"
New Grad Software Engineer,Entry-level position focused on software development tasks while gaining practical experience in coding/debugging under supervision.,"Algorithms, CSS, Data Structures, Git, HTML, Java, JavaScript, Python, SQL","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
New Relic Engineer,"Utilizes New Relic for application performance monitoring. Responsibilities include configuring dashboards, analyzing metrics, and optimizing application performance.",".NET, Alerting, Application Performance Monitoring, Cloud Computing, Java, Metrics, New Relic, Troubleshooting","New Relic Monitoring and Observability Certifications, AWS Certified DevOps Engineer â Professional"
Nexus Engineer,Manages Nexus repository for artifact management in CI/CD pipelines. Responsible for configuring repositories and ensuring efficient artifact storage.,"Artifact Repository, Build Automation, CI/CD, Docker, Gradle, Maven, Nexus","Nexus Repository Manager Certification, DevOps Institute Certifications"
Nomad Engineer,Implements Nomad for workload orchestration across distributed systems. Responsibilities include managing job definitions and ensuring service availability.,"Automation, Cloud Computing, Container Orchestration, Docker, Linux, Networking, Nomad","HashiCorp Certified: Nomad Associate, Cloud Native Computing Foundation Certifications"
Notary Engineer,Utilizes Notary for secure signing of container images. Responsible for implementing trust management within containerized environments.,"Container Security, Cryptography, Docker, Notary, Security, Trust Management","Notary Security Certifications, Docker Security Certifications"
Octopus Deploy Engineer,Manages deployment processes using Octopus Deploy. Responsibilities include configuring deployment projects and automating release workflows.,".NET, CI/CD, Cloud Computing, Deployment Automation, Octopus Deploy, PowerShell, Scripting","Octopus Deploy Certification, CI/CD Certifications"
OpenShift Engineer,"Administers OpenShift container platform for deploying applications. Responsibilities include managing clusters, scaling applications, and ensuring uptime.","Automation, CI/CD, Cloud Computing, Docker, Kubernetes, Linux, OpenShift, Security","Red Hat OpenShift Administration Certification, Kubernetes Administrator Certification"
OpenStack Engineer,Implements OpenStack solutions for cloud infrastructure management. Responsible for deploying services and managing virtualized resources.,"Automation, Cloud Computing, Linux, Networking, OpenStack, Scripting, Virtualization","OpenStack Administrator Certification, Cloud Infrastructure Certifications"
Oracle Developer,"Develops applications using Oracle technologies including PL/SQL. Responsibilities include database design, coding, testing, and optimization.","C++, Database Design, ETL, Git, Java, OOP, Oracle, PL/SQL, Performance Tuning, Python, REST APIs, SQL","Oracle Certified Professional, Java SE Programmer, Oracle Database SQL Certified Associate"
Oracle SQL Developer,"Utilizes Oracle SQL Developer to manage database development tasks including writing queries, creating reports, and optimizing database performance.","C++, Database Development, ETL, Git, Java, OOP, Oracle SQL Developer, PL/SQL, Performance Tuning, Python, REST APIs, SQL","Oracle SQL Certified Associate, Oracle Database SQL Expert"
Packer Engineer,Uses Packer to automate the creation of machine images across platforms. Responsible for maintaining image templates and ensuring consistency in deployments.,"AWS, Automation, Azure, Cloud Computing, Google Cloud, Infrastructure as Code, Packer","HashiCorp Certified: Packer Associate, Infrastructure as Code Certifications"
PHP Developer,"Develops web applications using PHP programming language. Responsibilities include coding, debugging, and collaborating with front-end developers on integrations.","C++, CSS, Git, HTML, Java, JavaScript, Laravel, MySQL, OOP, PHP, Python, REST APIs, RESTful APIs, Symfony","Zend Certified PHP Engineer, PHP Framework Certifications"
Powershell Engineer,Utilizes PowerShell scripting to automate administrative tasks in Windows environments. Responsible for writing scripts to manage system configurations.,"Active Directory, Automation, Cloud Computing, PowerShell, Scripting, Windows Server","Microsoft Certified: Azure Administrator Associate, Windows PowerShell Training"
PRODUCT MANAGER,"Oversees product development from conception to launch. Responsibilities include defining product vision, gathering requirements, and coordinating cross-functional teams.","Agile, Agile Methodologies, Budgeting, Communication, Leadership, Market Research, Product Management, Project Planning, Roadmap Planning, Roadmaps, Scrum, Stakeholder Management, User Research","Certified Scrum Product Owner (CSPO), Product Management Professional (PMP)"
Programmer,Writes code to develop software applications based on specifications provided by stakeholders. Collaborates with other developers on coding best practices.,"Algorithms, C++, Data Structures, Debugging, Java, Programming, Python, Software Development","CompTIA IT Fundamentals+, Microsoft Certified: Azure Fundamentals, Oracle Certified Associate (OCA) in Java/Python, AWS Certified Developer - Associate"
Programmer Analyst,"Analyzes business requirements to develop software solutions. Responsibilities include coding, testing, debugging, and providing technical support.","Data Analysis, Data Modeling, Process Improvement, Programming, Requirements Gathering, SQL"," CompTIA IT Fundamentals+, Microsoft Certified: Azure Fundamentals, Oracle Certified Associate (OCA) in Java/Python, AWS Certified Developer - Associate"
Prometheus Engineer,Implements Prometheus monitoring solutions to track application performance metrics. Responsible for configuring alerts/dashboards based on metrics collected.,"Alerting, Cloud Computing, Docker, Kubernetes, Metrics, Monitoring, Prometheus","Certified Kubernetes Administrator (CKA), Grafana Cloud Monitoring Certification, Prometheus Certified Associate (PCA) "
Puppet Engineer,Utilizes Puppet for configuration management tasks across environments. Responsibilities include writing manifests/scripts to automate system configurations.,"AWS, Automation, Azure, Cloud Computing, Configuration Management, Infrastructure as Code, Linux, Puppet, Ruby","Puppet Certified Professional, Red Hat Certified Specialist in Configuration Management, AWS Certified DevOps Engineer"
PyTest Engineer,Uses PyTest framework to write unit tests for Python applications. Responsible for ensuring code quality through automated testing practices.,"CI/CD, PyTest, Python, Test Automation, Testing, Unit Testing","ISTQB Certified Tester, Certified Python Developer (PCAP, PCPP), Selenium WebDriver with Python Certification"
Python Developer,"Develops software applications using Python programming language. Responsibilities include writing code, debugging issues, and collaborating with other developers.","Algorithms, C++, Cloud Computing, Data Structures, Django, Docker, Flask, Git, Java, Linux, NumPy, OOP, Pandas, Python, REST APIs, SQL","Microsoft Certified: Python Programming, Google Professional Data Engineer, AWS Certified Developer - Associate, PCAP (Certified Associate in Python Programming)"
QA Engineer,Implements testing strategies to ensure software quality through manual/automated testing methods while collaborating with development teams on quality standards.,"Agile Testing, Automation Testing, CI/CD, Git, JUnit, Jenkins, Performance Testing, Python, Selenium, Test Automation, TestNG","ISTQB Foundation Level, Certified Software Quality Analyst (CSQA), Certified Software Test Engineer (CSTE)"
React Developer,Develops user interfaces using React.js framework. Responsibilities include implementing responsive designs and optimizing application performance.,"C++, CSS, Git, HTML, Java, JavaScript, Node.js, OOP, Python, REST APIs, React, Redux, UI/UX Design","Meta Front-End Developer Certificate, React Nanodegree (Udacity), AWS Certified Developer - Associate"
Robotics Engineer,Designs robotic systems by developing software/hardware components that enable robots to perform tasks autonomously or semi-autonomously.,"Actuators, C++, Control Systems, Embedded Systems, Python, ROS, Robotics, Sensors","Certified LabVIEW Developer (CLD), ROS (Robot Operating System) Certification, Siemens Mechatronic Systems Certification"
RUBY ON RAILS DEVELOPER,Develops web applications using Ruby on Rails framework while focusing on back-end logic/integrating front-end components.,"C++, CSS, Deep Learning, Git, HTML, Java, JavaScript, Neural Networks, OOP, PyTorch, Python, REST APIs, Ruby, Ruby on Rails, SQL, TensorFlow","Ruby Association Certified Ruby Programmer, AWS Certified Developer - Associate"
Salesforce Developer,Customizes Salesforce platform by developing applications/components using Apex/Visualforce while ensuring alignment with business processes.,"Apex, C++, Git, Java, Lightning, OOP, Python, REST APIs, SOQL, Salesforce, Salesforce Administration, Visualforce","Salesforce Certified Platform Developer I & II, Salesforce Certified Administrator"
Search Engine Optimization,No description available,"Analytics, Content Marketing, Keyword Research, Off-Page Optimization, On-Page Optimization, SEO","Google Analytics Certification, HubSpot Content Marketing Certification, SEMrush SEO Fundamentals Certification"
SECURITY SPECIALIST,Protects organizational data by implementing security measures. Responsibilities include conducting risk assessments and responding to security incidents.,"Ethical Hacking, Firewalls, IDS/IPS, Linux, Network Security, Penetration Testing, Security, Security Auditing, Vulnerability Management","Certified Ethical Hacker (CEH), CISSP (Certified Information Systems Security Professional), CompTIA Security+, OSCP (Offensive Security Certified Professional)"
Selenium Engineer,"Designs and develops automated test scripts using Selenium. Responsibilities include creating test plans, executing tests, and reporting defects.","CI/CD, Java, Python, Selenium, Test Automation, Testing Frameworks, WebDriver","ISTQB Advanced Test Automation Engineer, Certified Selenium Professional, Test Automation Engineer (TAE) Certification"
Senior Ansible Development Engineer,Leads development efforts for Ansible-based automation solutions. Responsibilities include mentoring junior engineers and designing complex playbooks.,"AWS, Ansible, Automation, Azure, Cloud Computing, Infrastructure as Code, Leadership, Linux, Networking, Python, Scripting","Red Hat Certified Specialist in Ansible Automation, AWS Certified DevOps Engineer - Professional"
Senior Cloud Architect,Designs and implements cloud solutions at a senior level. Responsibilities include cloud strategy development and providing guidance on cloud best practices.,"AWS, Azure, Cloud Architecture, Docker, GCP, Google Cloud, Kubernetes, Leadership, Linux, Microservices, Networking, Security, Terraform","AWS Certified Solutions Architect - Professional, Google Professional Cloud Architect, Microsoft Certified: Azure Solutions Architect Expert"
Senior DevOps Architect,Leads DevOps initiatives at an architectural level by designing CI/CD pipelines and promoting automation across development teams.,"AWS, Ansible, Automation, Azure, CI/CD, Cloud Computing, Docker, Git, Google Cloud, Jenkins, Kubernetes, Leadership, Networking, Security, Terraform","AWS Certified DevOps Engineer - Professional, Google Professional Cloud DevOps Engineer, Certified Kubernetes Administrator (CKA)"
Senior DevOps Engineer,Drives DevOps initiatives at a senior level. Responsibilities include mentoring team members and implementing automation strategies.,"AWS, Ansible, Automation, Azure, CI/CD, Cloud Computing, Docker, Git, Jenkins, Kubernetes, Leadership, Linux, Networking, Python, Terraform","AWS Certified DevOps Engineer â Professional, Docker Certified Associate"
Senior DevSecOps Architect,Integrates security into DevOps practices at an architectural level by designing secure CI/CD pipelines and implementing security best practices.,"Ansible, CI/CD, Cloud Security, DevSecOps, Docker, Kubernetes, Leadership, Security Automation, Terraform, Vulnerability Management","Certified DevSecOps Professional (CDP), AWS Certified Security - Specialty, Certified Kubernetes Security Specialist (CKS)"
Senior SRE Architect,Leads SRE efforts at an architectural level by designing scalable/reliable systems while improving incident response strategies.,"Automation, CI/CD, Cloud Platforms, DevOps, Docker, Kubernetes, Leadership, Linux, Monitoring, Networking, Python, SRE","Google Professional Cloud DevOps Engineer, Certified Kubernetes Administrator (CKA), AWS Certified Solutions Architect - Professional"
Senior SRE Engineer,Drives site reliability efforts by implementing monitoring solutions and automating incident response. Responsible for improving service availability.,"Automation, CI/CD, Cloud Platforms, DevOps, Docker, Kubernetes, Leadership, Linux, Monitoring, Networking, Python, SRE","Google Professional Cloud DevOps Engineer, Certified Kubernetes Administrator (CKA), AWS Certified Solutions Architect - Professional"
Sharepoint Developer,Develops applications on SharePoint platform using technologies like .NET and JavaScript. Responsibilities include customizing SharePoint sites and building web parts.,".NET, C#, C++, Git, Java, JavaScript, OOP, PowerShell, Python, REST APIs, SharePoint, SharePoint Framework","Microsoft Certified: SharePoint Developer, Microsoft 365 Certified: Developer Associate"
Software Developer,"Develops software applications based on specifications provided by stakeholders. Responsibilities include coding, testing, debugging, and collaborating on projects.","Algorithms, C++, Data Structures, Debugging, Git, Java, OOP, Programming, Python, REST APIs, Software Development","Microsoft Certified: Azure Developer Associate, AWS Certified Developer - Associate, Oracle Certified Professional Java SE Developer"
Software Engineer,"Designs, develops, and tests software applications to meet business needs. Requires strong problem-solving skills and knowledge of software development methodologies.","Algorithms, C++, CI/CD, Cloud Computing, Data Structures, Git, Java, Jenkins, Python, Software Design","Microsoft Certified: Azure Developer Associate, AWS Certified Developer - Associate, Oracle Certified Professional Java SE Developer"
SonarQube Engineer,Manages SonarQube instance to measure/track code quality. Responsible for configuring quality profiles/gates while providing feedback to development teams.,".NET, CI/CD, Code Quality, Java, Security, SonarQube, Static Code Analysis","Certified Secure Software Lifecycle Professional (CSSLP), OWASP Top 10 Security Testing Certifications"
Splunk Engineer,"Implements Splunk solutions for log analysis, security monitoring, and operational intelligence. Responsible for creating dashboards/alerts and managing data ingestion.","AWS, Alerting, Azure, Dashboards, Data Analysis, Linux, Log Management, Scripting, Security, Splunk","Splunk Core Certified Power User, Splunk Enterprise Security Admin"
Splunk Enterprise Security Engineer,Manages Splunk Enterprise Security environment to detect/respond to security incidents. Requires expertise in threat detection techniques.,"Ethical Hacking, Firewalls, Incident Response, Linux, Network Security, Penetration Testing, Security Analysis, Security Information and Event Management (SIEM), Splunk Enterprise Security, Threat Detection","Splunk Core Certified User, Splunk Core Certified Power User, Splunk Enterprise Security Certified Admin"
SQL Developer,"Writes SQL code for database applications. Responsibilities include creating stored procedures, optimizing queries, and designing database schemas.","C++, Data Modeling, Database Design, ETL, Git, Java, OOP, Performance Tuning, Python, REST APIs, SQL, SQL Server, SSIS, SSRS, T-SQL","Microsoft Certified: Azure Data Engineer Associate, Oracle Database SQL Certified Associate"
SRE Architect,Designs Site Reliability Engineering strategies to improve system reliability while reducing operational overheads through automation.,"Automation, CI/CD, Cloud Architecture, Docker, Incident Management, Kubernetes, Monitoring, Networking, SRE","Google Professional Cloud DevOps Engineer, Certified Kubernetes Administrator (CKA), AWS Certified Solutions Architect - Professional"
SRE Engineer,"Implements Site Reliability Engineering practices by monitoring systems, responding to incidents, and automating operational tasks.","Automation, CI/CD, Cloud Platforms, DevOps, Docker, Kubernetes, Linux, Monitoring, Python, SRE","Google Professional Cloud DevOps Engineer, Certified Kubernetes Administrator (CKA), AWS Certified Solutions Architect - Professional"
SYSTEMS ADMINISTRATOR,"Manages computer systems within an organization. Responsibilities include configuring servers, troubleshooting issues, and ensuring system security.","Backup, Linux, Linux Administration, Networking, Scripting, Shell Scripting, Troubleshooting, Virtualization, Windows Server, Windows Server Administration","CompTIA Linux+, Red Hat Certified System Administrator (RHCSA), Microsoft Certified: Windows Server Hybrid Administrator Associate"
SYSTEMS ENGINEER,"Designs and implements IT systems that meet business requirements. Responsibilities include system integration, testing, and deployment.","Backup, Cloud Computing, Linux, Linux Administration, Networking, Shell Scripting, Systems Design, Virtualization, Windows Server, Windows Server Administration","CompTIA Server+, Microsoft Certified: Azure Solutions Architect Expert, Red Hat Certified Engineer (RHCE)"
TeamCity Engineer,Manages TeamCity CI/CD server by configuring build configurations/pipelines and integrating with source control systems.,"Build Automation, CI/CD, Git, TeamCity, Version Control","JetBrains TeamCity Certification (if available), AWS Certified DevOps Engineer - Professional"
